       4	34381040.75	       4	    4.10	    1024	       5	       0
     708	7860165.50	     708	 1794.05	    1025	       6	       0
    1004	3977354.25	    1004	 2580.48	    1026	       7	       0
    1056	2556986.75	    1056	 2695.17	    1027	       8	       0
    1080	2014150.75	    1080	 2764.80	    1028	       9	       0
    1052	1968695.25	    1052	 2695.17	    1029	      10	       0
    1024	1744679.00	    1024	 2621.44	    1030	      11	       0
     960	1697092.75	     960	 2457.60	    1031	      12	       0
     832	1731236.50	     832	 2129.92	    1032	      13	       0
     800	1751770.75	     800	 2048.00	    1033	      14	       0
     808	1699755.00	     808	 2072.58	    1034	      15	       0
     784	1658379.25	     784	 1998.85	    1035	      16	       0
     724	1642226.25	     724	 1863.68	    1036	      17	       0
     672	1497974.25	     672	 1712.13	    1037	      18	       0
     640	1628526.00	     640	 1638.40	    1038	      19	       0
     640	1685094.50	     640	 1638.40	    1039	      20	       0
     624	1736634.00	     624	 1601.54	    1040	      21	       0
     608	1535250.50	     608	 1548.29	    1041	      22	       0
     560	1561647.50	     560	 1437.70	    1042	      23	       0
     544	1823104.00	     544	 1400.83	    1043	      24	       0
     528	1842572.00	     528	 1347.58	    1044	      25	       0
     528	1706217.50	     528	 1347.58	    1045	      26	       0
     512	1746746.25	     512	 1310.72	    1046	      27	       0
